codigo,descricao_oficial,vertical_id,vertical,sub_vertical,sinonimos,tags,secao,divisao,grupo,classe
0892-4/02,Extração de sal-gema,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de sal-gema,"Extrativa, B2B",B,08,08.9,08.92-4
0892-4/03,Refino e outros tratamentos do sal,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,refino e outros tratamentos do sal,"Extrativa, B2B",B,08,08.9,08.92-4
0893-2/00,Extração de gemas (pedras preciosas e semipreciosas),EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de gemas (pedras preciosas e semipreciosas),"Extrativa, B2B",B,08,08.9,08.93-2
0899-1/01,Extração de grafita,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de grafita,"Extrativa, B2B",B,08,08.9,08.99-1
0899-1/02,Extração de quartzo,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de quartzo,"Extrativa, B2B",B,08,08.9,08.99-1
0899-1/03,Extração de amianto,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de amianto,"Extrativa, B2B",B,08,08.9,08.99-1
0899-1/99,Extração de outros minerais não metálicos não especificados anteriormente,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de outros minerais não metálicos,"Extrativa, B2B",B,08,08.9,08.99-1
0910-6/00,Atividades de apoio à extração de petróleo e gás natural,EXT,Mineração e Extração,Apoio à Extração de Minerais,apoio à extração de petróleo e gás natural,"Extrativa, B2B",B,09,09.1,09.10-6
0990-4/01,Atividades de apoio à extração de minério de ferro,EXT,Mineração e Extração,Apoio à Extração de Minerais,apoio à extração de minério de ferro,"Extrativa, B2B",B,09,09.9,09.90-4
0990-4/02,Atividades de apoio à extração de minerais metálicos não ferrosos,EXT,Mineração e Extração,Apoio à Extração de Minerais,apoio à extração de minerais metálicos não ferrosos,"Extrativa, B2B",B,09,09.9,09.90-4
0990-4/03,Atividades de apoio à extração de minerais não metálicos,EXT,Mineração e Extração,Apoio à Extração de Minerais,apoio à extração de minerais não metálicos,"Extrativa, B2B",B,09,09.9,09.90-4
1011-2/01,Frigorífico - abate de bovinos,ALI,Alimentação e Bebidas,Indústria de Alimentos,frigorífico - abate de bovinos,"Indústria, Vigilância Sanitária, B2B",C,10,10.1,10.11-2
