Mapeamento Completo — 1.331 subclasses CNAE 2.3;;;;
;;;;
Subclasse CNAE;Descrição Oficial;Vertical;;
1742-7/01;Fabricação de fraldas descartáveis;Indústria e Manufatura;;
1742-7/02;Fabricação de absorventes higiênicos;Indústria e Manufatura;;
1742-7/99;Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;Indústria e Manufatura;;
1749-4/00;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;Indústria e Manufatura;;
1811-3/01;Impressão de jornais;Marketing, Publicidade e Design;;
1811-3/02;Impressão de livros, revistas e outras publicações periódicas;Marketing, Publicidade e Design;;
1812-1/00;Impressão de material de segurança;Marketing, Publicidade e Design;;
1813-0/01;Impressão de material para uso publicitário;Marketing, Publicidade e Design;;
1813-0/99;Impressão de material para outros usos;Marketing, Publicidade e Design;;
1821-1/00;Serviços de pré-impressão;Marketing, Publicidade e Design;;
1822-9/01;Serviços de encadernação e plastificação;Marketing, Publicidade e Design;;
1822-9/99;Serviços de acabamentos gráficos, exceto encadernação e plastificação;Marketing, Publicidade e Design;;
1830-0/01;Reprodução de som em qualquer suporte;Marketing, Publicidade e Design;;
1830-0/02;Reprodução de vídeo em qualquer suporte;Marketing, Publicidade e Design;;
1830-0/03;Reprodução de software em qualquer suporte;Marketing, Publicidade e Design;;
1910-1/00;Coquerias;Energia, Utilities e Saneamento;;
1921-7/00;Fabricação de produtos do refino de petróleo;Energia, Utilities e Saneamento;;
1922-5/01;Formulação de combustíveis;Energia, Utilities e Saneamento;;
1922-5/02;Rerrefino de óleos lubrificantes;Energia, Utilities e Saneamento;;
1922-5/99;Fabricação de outros produtos derivados do petróleo, exceto produtos do refino;Energia, Utilities e Saneamento;;
1931-4/00;Fabricação de álcool;Energia, Utilities e Saneamento;;
1932-2/00;Fabricação de biocombustíveis, exceto álcool;Energia, Utilities e Saneamento;;
2011-8/00;Fabricação de cloro e álcalis;Indústria e Manufatura;;
2012-6/00;Fabricação de intermediários para fertilizantes;Indústria e Manufatura;;
2013-4/01;Fabricação de adubos e fertilizantes organo-minerais;Indústria e Manufatura;;
2013-4/02;Fabricação de adubos e fertilizantes, exceto organo-minerais;Indústria e Manufatura;;
2014-2/00;Fabricação de gases industriais;Indústria e Manufatura;;
2019-3/01;Elaboração de combustíveis nucleares;Indústria e Manufatura;;
2019-3/99;Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;Indústria e Manufatura;;
2021-5/00;Fabricação de produtos petroquímicos básicos;Indústria e Manufatura;;
2022-3/00;Fabricação de intermediários para plastificantes, resinas e fibras;Indústria e Manufatura;;
2029-1/00;Fabricação de produtos químicos orgânicos não especificados anteriormente;Indústria e Manufatura;;
2031-2/00;Fabricação de resinas termoplásticas;Indústria e Manufatura;;
2032-1/00;Fabricação de resinas termofixas;Indústria e Manufatura;;
2033-9/00;Fabricação de elastômeros;Indústria e Manufatura;;
2040-1/00;Fabricação de fibras artificiais e sintéticas;Indústria e Manufatura;;
2051-7/00;Fabricação de defensivos agrícolas;Indústria e Manufatura;;
2052-5/00;Fabricação de desinfestantes domissanitários;Indústria e Manufatura;;
2061-4/00;Fabricação de sabões e detergentes sintéticos;Indústria e Manufatura;;
2062-2/00;Fabricação de produtos de limpeza e polimento;Indústria e Manufatura;;
2063-1/00;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;Indústria e Manufatura;;
2071-1/00;Fabricação de tintas, vernizes, esmaltes e lacas;Indústria e Manufatura;;
2072-0/00;Fabricação de tintas de impressão;Indústria e Manufatura;;
2073-8/00;Fabricação de impermeabilizantes, solventes e produtos afins;Indústria e Manufatura;;
2091-6/00;Fabricação de adesivos e selantes;Indústria e Manufatura;;
2092-4/01;Fabricação de pólvoras, explosivos e detonantes;Indústria e Manufatura;;
2092-4/02;Fabricação de artigos pirotécnicos;Indústria e Manufatura;;
2092-4/03;Fabricação de fósforos de segurança;Indústria e Manufatura;;
2093-2/00;Fabricação de aditivos de uso industrial;Indústria e Manufatura;;
2094-1/00;Fabricação de catalisadores;Indústria e Manufatura;;
2099-1/01;Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia;Indústria e Manufatura;;
2099-1/99;Fabricação de outros produtos químicos não especificados anteriormente;Indústria e Manufatura;;
2110-6/00;Fabricação de produtos farmoquímicos;Saúde e Farmacêutico;;
2121-1/01;Fabricação de medicamentos alopáticos para uso humano;Saúde e Farmacêutico;;
2121-1/02;Fabricação de medicamentos homeopáticos para uso humano;Saúde e Farmacêutico;;
2121-1/03;Fabricação de medicamentos fitoterápicos para uso humano;Saúde e Farmacêutico;;
2122-0/00;Fabricação de medicamentos para uso veterinário;Saúde e Farmacêutico;;
2123-8/00;Fabricação de preparações farmacêuticas;Saúde e Farmacêutico;;
2211-1/00;Fabricação de pneumáticos e de câmaras-de-ar;Indústria e Manufatura;;
2212-9/00;Reforma de pneumáticos usados;Indústria e Manufatura;;
2219-6/00;"Fabricação de artefatos de borracha não especificados 
anteriormente";Indústria e Manufatura;;
2221-8/00;Fabricação de laminados planos e tubulares de material plástico;Indústria e Manufatura;;
2222-6/00;Fabricação de embalagens de material plástico;Indústria e Manufatura;;
2223-4/00;Fabricação de tubos e acessórios de material plástico para uso na construção;Indústria e Manufatura;;
2229-3/01;Fabricação de artefatos de material plástico para uso pessoal e doméstico;Indústria e Manufatura;;
2229-3/02;Fabricação de artefatos de material plástico para usos industriais;Indústria e Manufatura;;
2229-3/03;Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios;Indústria e Manufatura;;
